Symbol,Sign,Open,High,Low,Last,Change,%Change,Bid,Offer,Volume (Shares),Value ('000 Baht)
ADVANC,,191,191,188,189.5,-0.50,-0.26,189,189.5,9227372,1747363.61
AOT,,49.25,49.5,48.5,49,-0.75,-1.51,49,49.25,33169110,1622274.95
AWC,,3.94,4,3.88,3.92,-0.04,-1.01,3.92,3.94,22052205,86533.58
BBL,,100.5,101,99.5,100,-,-,99.75,100,7367632,736870.83
BDMS,,21,21.1,20.6,20.9,-0.30,-1.42,20.9,21,27642670,576583.77
BEM,,8.8,8.85,8.7,8.75,-0.10,-1.13,8.7,8.8,22641631,198505.24
BGRIM,,49.5,50.25,49.5,49.75,+0.50,+1.02,49.5,49.75,8580108,427311.37
BH,,109,111.5,107.5,111.5,+2.50,+2.29,111,111.5,1361824,149271.79
BJC,,37.25,37.25,35.75,36.25,-1.25,-3.33,36,36.25,11818417,427950.12
BPP,,15,15,14.7,14.7,-0.30,-2.00,14.7,14.8,2812064,41672.8
BTS,,10.2,10.3,10,10.1,-0.20,-1.94,10.1,10.2,41205719,418458.66
CBG,,125.5,127,123.5,126,+1.00,+0.80,125.5,126,3571663,448866.56
CPALL,,68.25,68.5,67.5,68.25,-0.50,-0.73,68,68.25,19411268,1318368.73
CPF,,32.75,33,32.25,32.5,-0.50,-1.52,32.5,32.75,38070737,1241169.89
CPN,,47.25,47.5,46.25,46.25,-1.25,-2.63,46.25,46.5,4873789,228175.37
CRC,,29,29,28.5,28.75,-0.25,-0.86,28.75,29,8990373,259315.61
DTAC,,37,37.5,36.5,37.25,+0.25,+0.68,37,37.25,4181367,155044.7
EA,,48.5,48.75,47.25,47.25,-1.50,-3.08,47.25,47.5,11122319,532271.57
EGCO,,235,237,234,237,+2.00,+0.85,237,238,602299,141841.98
GLOBAL,,19.7,20.2,19.2,19.8,-,-,19.7,19.9,11819710,233096.62
GPSC,,71.25,72,70.25,70.75,+1.25,+1.80,70.75,71,16742658,1193865.14
GULF,XR,33.25,33.5,33,33.25,-0.25,-0.75,33.25,33.5,15903512,529594.55
HMPRO,,16,16.1,15.7,15.8,-0.30,-1.86,15.8,15.9,23092356,366309.16
INTUCH,,57.5,57.5,56.75,56.75,-,-,56.75,57,10897377,621565.9
IRPC,,2.56,2.58,2.52,2.52,-0.06,-2.33,2.52,2.54,25528906,64787.66
IVL,,24.9,24.9,24.5,24.7,-0.20,-0.80,24.7,24.8,14399017,355321.33
KBANK,,83.25,83.75,82.75,83,-0.25,-0.30,83,83.25,6605677,549566.56
KTB,,9.8,9.9,9.8,9.85,+0.05,+0.51,9.85,9.9,17092906,168336.96
KTC,,30,30.25,29.75,30,-0.25,-0.83,30,30.25,4106375,123338.45
LH,,7.5,7.55,7.4,7.45,-0.10,-1.32,7.45,7.5,19752851,147546.83
MINT,XW,18.4,18.7,18.2,18.3,-0.10,-0.54,18.3,18.4,18676420,344502.49
MTC,,48.75,49.5,48.25,48.5,-0.25,-0.51,48.25,48.5,3274871,159570.99
OSP,,42,42,41.25,41.5,-0.50,-1.19,41.5,41.75,7446962,310020.75
PTT,,38.5,38.75,37.75,38.25,-0.50,-1.29,38,38.25,59238338,2262381.28
PTTEP,,93,94.5,92.5,94,+1.00,+1.08,93.75,94,15253888,1427192.78
PTTGC,,51,51,49.25,49.5,-1.75,-3.41,49.5,49.75,21742834,1090609
RATCH,,59.5,60.25,59.5,60,+0.75,+1.27,59.75,60,1900426,113637.7
SAWAD,XD,46.25,46.75,45.75,46,-,-,46,46.25,6153564,284396.12
SCB,,68.25,68.75,67.5,68.25,-,-,68.25,68.5,5193188,354514.03
SCC,,377,378,375,377,-2.00,-0.53,376,378,1065438,400934.65
TCAP,,34.25,34.5,34,34.25,+0.25,+0.74,34.25,34.5,3384355,115945.62
TISCO,,66.5,66.75,66,66.25,-0.50,-0.75,66.25,66.5,2698801,179065.46
TMB,,0.95,0.95,0.94,0.94,-0.01,-1.05,0.94,0.95,66798454,63015.67
TOA,,40,40.25,39.25,39.25,-0.75,-1.88,39.25,39.5,1737666,68854.94
TOP,,44,44.5,43,43.75,-0.50,-1.13,43.5,43.75,10103318,441738.38
TRUE,,3.34,3.36,3.3,3.32,-0.02,-0.60,3.32,3.34,36640902,121775.13
TTW,,13.3,13.4,13.2,13.3,-,-,13.3,13.4,2254782,29973.58
TU,,13.4,13.5,13.2,13.4,-0.10,-0.74,13.4,13.5,9158247,122268.05
VGI,,6.25,6.45,6.2,6.2,-0.10,-1.59,6.2,6.25,10147772,63494.14
WHA,,3.48,3.48,3.34,3.36,-0.12,-3.45,3.36,3.38,79653616,271401.77
